Date,QBX1_CONDUCTIVITY,QBX1_TEMPERATURE,QBX1_ORP,QBX1_PH,QBX1_CORROSION_RATE,QBX1_FLUOROMETER,QBX1_FLOW_SWITCH,QBX1_RELAY1,QBX1_RELAY2,QBX1_RELAY3,QBX1_RELAY4,QBX1_RELAY5,QBX1_RELAY6,QBX1_RELAY7,QBX1_RELAY8
2023-08-06 00:00:00,3198.0,24.9,268.0,7.4,0.8,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:01,3200.0,24.9,269.0,7.5,0.9,20.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:02,3200.0,24.6,268.0,7.5,0.9,20.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:03,3199.0,24.8,268.0,7.5,0.9,20.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:04,3199.0,24.6,269.0,7.5,0.8,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:05,3198.0,24.7,268.0,7.4,0.8,20.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:06,3198.0,24.9,269.0,7.5,0.8,20.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:07,3199.0,24.7,270.0,7.5,0.9,20.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:08,3198.0,24.7,270.0,7.4,0.8,20.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:09,3198.0,24.6,269.0,7.4,0.8,20.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:10,3198.0,24.5,268.0,7.4,0.8,20.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:11,3198.0,24.9,268.0,7.5,0.8,20.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:12,3198.0,24.8,268.0,7.4,0.8,20.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:13,3199.0,24.9,269.0,7.4,0.8,20.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:14,3198.0,24.6,268.0,7.5,0.8,20.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:15,3199.0,24.9,268.0,7.4,0.8,20.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:16,3199.0,25.0,269.0,7.5,0.8,20.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:17,3199.0,24.6,269.0,7.4,0.9,20.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:18,3200.0,24.7,269.0,7.4,0.8,20.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:19,3198.0,24.6,269.0,7.4,0.8,21.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:20,3199.0,24.7,268.0,7.5,0.8,20.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:21,3200.0,24.7,268.0,7.4,0.8,20.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:22,3199.0,24.8,269.0,7.4,0.9,20.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:23,3198.0,24.7,270.0,7.4,0.8,20.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:24,3198.0,24.9,270.0,7.5,0.9,20.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:25,3199.0,24.9,270.0,7.5,0.8,20.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-08-06 00:00:26,3198.0,24.5,268.0,7.5,0.8,20.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
